req_id,text,vague_quantifier,passive_no_actor,unresolved_pronoun,missing_measurable,weak_conflicting_modality,vague_quantifier_spans,passive_no_actor_spans,unresolved_pronoun_spans,missing_measurable_spans,weak_conflicting_modality_spans
REQ-0040,The product shall synchronize contacts and appointments in an acceptable time.,True,False,False,False,False,acceptable,,,,
REQ-0089,The system shall interface with the student master server.,False,False,False,False,False,,,,,
REQ-0416,Movies shall be encoded for 56k and 256k streams.,False,True,False,False,False,,shall be encoded,,,
REQ-0056,The product shall prevent its data from incorrect data being introduced.,False,False,False,False,False,,,,,
REQ-0237,The product shall comply with the estimatics laws relating to recycled parts usage.,False,False,False,False,False,,,,,
REQ-0034,The product shall be easy for a realtor to learn.,True,False,False,False,False,easy,,,,
REQ-0357,The System shall allow generation of Inventory Quantity Adjustment documents on demand.,False,False,False,False,False,,,,,
REQ-0604,The application shall have a downtime of at most 10 minutes per year.,False,False,False,False,False,,,,,
REQ-0339,The product shall display room equipment according to search parameters.,False,False,False,False,False,,,,,
REQ-0417,Promotional updates to the website should take a day to update.,False,False,False,False,False,,,,,
REQ-0047,100% of saved user preferences shall be restored when system comes back online.,False,True,False,False,False,,shall be restored,,,
REQ-0472,The vendor will verify the invalid lead.,False,False,False,False,False,,,,,
REQ-0081,The system shall cater to 10 simultaneous users from 9am to 5pm.,False,False,False,False,False,,,,,
REQ-0356,The System shall not require additional third party licenses resulting in royalty fees.,False,False,False,False,False,,,,,
REQ-0033,The system shall be intuitive and self explanatory.,True,False,False,False,False,intuitive,,,,
REQ-0341,The product shall record different meeting types.,False,False,False,False,False,,,,,
REQ-0343,The product shall notify building personnel of equipment transport requests.,False,False,False,False,False,,,,,
REQ-0271,The ratings shall be from a scale of 1-10,False,False,False,False,False,,,,,
REQ-0023,The system shall allow a user to define the time segments,False,False,False,False,False,,,,,
REQ-0346,The product shall have a customizable Look and Feel.,False,False,False,False,False,,,,,
REQ-0038,The product shall generate a CMA report in an acceptable time.,True,False,False,False,False,acceptable,,,,
REQ-0236,The product must comply with Sarbanes-Oxley.,False,False,False,False,False,,,,,
REQ-0209,The appearance of the product shall appear professional,False,False,False,False,False,,,,,
REQ-0514,The product shall allow the player to position ships vertically on their grid.,False,False,False,False,False,,,,,
REQ-0516,The product shall prevent the player from overlapping ships on their grid.,False,False,False,False,False,,,,,
REQ-0440,The website should appeal to all Africans not only Nigerians.,False,False,False,False,False,,,,,
REQ-0351,The System shall utilize currently owned computer equipment.,False,False,False,False,False,,,,,
REQ-0235,The system shall prevent malicious attacks including denial of service.,False,False,False,False,False,,,,,
REQ-0292,Aside from server failure the software product shall achieve 99.99% up time.,False,False,False,False,False,,,,,
REQ-0203,The product must support Mozilla Firefox 1.0 and above.,False,False,False,False,False,,,,,
REQ-0453,System will allow customers to pay for a streaming movie with a pre-paid card.,False,False,False,False,False,,,,,
REQ-0264,The audit report shall include the total score of the audit which sums the indivual line items.,False,False,False,False,False,,,,,
REQ-0128,A Program Administrator/Nursing Staff Member shall be able to add a new nursing student to the system.,False,False,False,False,False,,,,,
