req_id,text,vague_quantifier,passive_no_actor,unresolved_pronoun,missing_measurable,weak_conflicting_modality
REQ-0040,The product shall synchronize contacts and appointments in an acceptable time.,,,,,
REQ-0089,The system shall interface with the student master server.,,,,,
REQ-0416,Movies shall be encoded for 56k and 256k streams.,,,,,
REQ-0056,The product shall prevent its data from incorrect data being introduced.,,,,,
REQ-0237,The product shall comply with the estimatics laws relating to recycled parts usage.,,,,,
REQ-0034,The product shall be easy for a realtor to learn.,,,,,
REQ-0357,The System shall allow generation of Inventory Quantity Adjustment documents on demand.,,,,,
REQ-0604,The application shall have a downtime of at most 10 minutes per year.,,,,,
REQ-0339,The product shall display room equipment according to search parameters.,,,,,
REQ-0417,Promotional updates to the website should take a day to update.,,,,,
REQ-0047,100% of saved user preferences shall be restored when system comes back online.,,,,,
REQ-0472,The vendor will verify the invalid lead.,,,,,
REQ-0081,The system shall cater to 10 simultaneous users from 9am to 5pm.,,,,,
REQ-0356,The System shall not require additional third party licenses resulting in royalty fees.,,,,,
REQ-0033,The system shall be intuitive and self explanatory.,,,,,
REQ-0341,The product shall record different meeting types.,,,,,
REQ-0343,The product shall notify building personnel of equipment transport requests.,,,,,
REQ-0271,The ratings shall be from a scale of 1-10,,,,,
REQ-0023,The system shall allow a user to define the time segments,,,,,
REQ-0346,The product shall have a customizable Look and Feel.,,,,,
REQ-0038,The product shall generate a CMA report in an acceptable time.,,,,,
REQ-0236,The product must comply with Sarbanes-Oxley.,,,,,
REQ-0209,The appearance of the product shall appear professional,,,,,
REQ-0514,The product shall allow the player to position ships vertically on their grid.,,,,,
REQ-0516,The product shall prevent the player from overlapping ships on their grid.,,,,,
REQ-0440,The website should appeal to all Africans not only Nigerians.,,,,,
REQ-0351,The System shall utilize currently owned computer equipment.,,,,,
REQ-0235,The system shall prevent malicious attacks including denial of service.,,,,,
REQ-0292,Aside from server failure the software product shall achieve 99.99% up time.,,,,,
REQ-0203,The product must support Mozilla Firefox 1.0 and above.,,,,,
REQ-0453,System will allow customers to pay for a streaming movie with a pre-paid card.,,,,,
REQ-0264,The audit report shall include the total score of the audit which sums the indivual line items.,,,,,
REQ-0128,A Program Administrator/Nursing Staff Member shall be able to add a new nursing student to the system.,,,,,
REQ-0489,The product shall display the grids within a circle as a view from a periscope.,,,,,
REQ-0172,All business rules specified in the Disputes System shall be in compliance with the Merchant Operating Regulations.,,,,,
REQ-0063,The system shall be able to call the seller or buyer to schedule an appointment,,,,,
REQ-0368,PME Subsystem shall allow for a product to exist in more than one submenu,,,,,
REQ-0269,The system will display a blank set of ratings if there are not ratings yet defined.,,,,,
REQ-0447,Website shall request and authorize credit card payment before allowing a user to stream a movie.,,,,,
REQ-0459,Website must be able to support free trial periods with various parameters set by the Izogn Manager.,,,,,
REQ-0475,The leads washing functionality will validate all leads received by the web service for valid data,,,,,
REQ-0246,The adjuster shall be able to override the preferred repair facitlity on the estimate assignment.,,,,,
REQ-0263,The audit report shall include the percentage of available recycled parts used in the estimate,,,,,
REQ-0076,Staff members shall be able to complete a set of tasks in a timely manner.,,,,,
REQ-0535,The product shall allow a player to end a game at any time during the game.,,,,,
REQ-0350,The System shall allow for a minimum of 6 users to work at the same time.,,,,,
REQ-0052,90% of untrained realtors shall be able to install the product on their device without printed instructions,,,,,
REQ-0103,Program Administrators and Nursing Staff Members shall be able to add a single student to a cohort,,,,,
REQ-0511,The product shall prevent a player from viewing the offensive or defensive grids of the other player.,,,,,
REQ-0460,All streaming movie sales will be logged in the database and accessible by the administrator.,,,,,
REQ-0164,All authorized users once authenticated must be able to logon to the Disputes System,,,,,
REQ-0487,The leads washing functionality shall receive a period list of available reps from the enterprise system.,,,,,
REQ-0254,The available recycled parts information and their suppliers shall be returned to the user.,,,,,
REQ-0025,The system shall offer the ability to pause and resume the refresh of data.,,,,,
REQ-0523,For each shot the product shall notify the players whether the shot was a hit or miss.,,,,,
REQ-0101,A cohort shall be associated to one Program of Study offered by the department.,,,,,
REQ-0595,The Commissioner will be the only authorized user per league to adjust league settings.,,,,,
REQ-0421,The website will provide a help section with answers and solutions to common problems.,,,,,
REQ-0069,All of the users shall be able to use the system after one day of training.,,,,,
REQ-0074,The system shall use symbols and words that are naturally understandable by the user community.,,,,,
REQ-0367,PME Subsystem shall allow keeping submenus within menus and products within submenus in a managed and persisted order.,,,,,
REQ-0105,Program Administrators and Nursing Staff Members shall be able to specify the preferred sequence of classes for a given cohort.,,,,,
REQ-0524,For each shot the product shall mark the shot as a hit or miss on the defensive grid of the defensive player.,,,,,
REQ-0376,System shall let existing customers log into the website with their email address and password in under 5 seconds.,,,,,
REQ-0374,System shall let customers register on the website as a â€œpay as you goâ€‌ user in under 5 minutes.,,,,,
REQ-0136,The system will use the stored e-mail addresses as a primary means of communicating information to affected parties.,,,,,
REQ-0285,The product shall allow the user to select a chosen language from one of the target market countries.,,,,,
REQ-0596,Each page shall contain a navigation menu which shows the index into which the current page is contained.,,,,,
REQ-0349,Recreation of Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min.,,,,,
REQ-0387,Users should only have to navigate through a maximum of 4 pages to create an account with the website.,,,,,
REQ-0491,When the offensive player takes a shot the product shall simulate the sound of a ship at sea.,,,,,
REQ-0083,The system shall be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years.,,,,,
REQ-0169,The Disputes application shall manipulate and view business data. Users will not have direct access to data files or databases.,,,,,
REQ-0070,The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.,,,,,
REQ-0107,Program Administrators and Nursing Staff Members shall be able to add new classes to a sequence of classes,,,,,
REQ-0232,Only valid data shall be entered into the system. No invalid data shall be entered into the system.,,,,,
REQ-0575,The system shall use IBM and CCR branding standards. The interface must have one IBM logo and one CCR logo.,,,,,
REQ-0353,The System shall maintain consistent security. Any changes in user passwords and/or permissions should take affect in all parts of the System.,,,,,
REQ-0230,Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.,,,,,
REQ-0565,The product shall be robust with fault tolerance.The product shall have fault tolerance by using recovery technique compensatory transaction and routing around failures.,,,,,
REQ-0123,A clinical lab section shall include the clinical site name the class instructor day and time of the lab.,,,,,
REQ-0539,When a game is ended the product shall allow each player to remove himself or herself from the list of players.,,,,,
REQ-0119,Classes for a given cohort shall not conflict with regards to the time and day that they are offered.,,,,,
REQ-0556,The product shall provide Error Tracking Services.The product shall help the System Administrators and DBAs to resolve transaction errors 99% of the time.,,,,,
REQ-0557,The product shall provide Portals.The product shall help System Administrators to analyze the transactions with ad-hoc reporting and KPIs (Key Performance Indicators),,,,,
REQ-0601,""" Users shall be able to view at least 25 NFL player statistics and points on each page.""",,,,,
REQ-0492,When a shot is marked as a miss the product shall simulate the sound of a shot missing its target.,,,,,
REQ-0469,The washing process must use a non binding neutral data format such as xml when receiving and processing lead data.,,,,,
REQ-0214,The user shall easily locate instructions while using the product. User help can be found within 90% of the system.,,,,,
REQ-0125,The system shall allow a Program Administrator or Nursing staff member to remove a student from a clinical lab section.,,,,,
REQ-0467,The process must fit within the processing time conditions set forth by the Auto Rep Assignment process in which a lead is assigned within 3 minutes of the total life cycle.,,,,,
REQ-0299,The product must be able to interface with various database management systems. The product shall communicate successfully with the database management system on 100% of all transactions.,,,,,
REQ-0317,The product and/or dependent databases/filesystems shall remain operational as a result of the input of malicious data. The product and/or dependent databases/filesystems shall not crash 100% of the time that malicious data is input into the product.,,,,,
REQ-0310,The product shall be translated into foreign languages other than the target market countriesâ€™ languages in future releases. For each emerging target market it shall take no more than 5 days to configure the product for that marketâ€™s language.,,,,,
REQ-0545,The system shall have high availability every day of the year.The system must be available for use between 12:00AM and 6:00PM all days of the year.,,,,,
REQ-0145,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Lab Section including the clinical site name the department/section for the lab the class instructor day and time of lab and contact information.,,,,,
REQ-0455,System shall automatically update the main page of the website every Friday and show the 4 latest movies that have been added to the website.,,,,,
REQ-0581,Rreports must be easy to generate. eports must be generated within one button click and exported within one button click (after selecting the report),,,,,
REQ-0432,The website shall make its user aware of its information practices before collection data from them via a Privacy Policy accessible on all pages of the website.,,,,,
REQ-0589,The Brio portion of the WCS system must be able to export files in spreadsheet form (Microsoft Excel and Lotus 1-2-3 formats). Brio will provide buttons in the user interface that produce/export reports in .xls or .123 file formats.,,,,,
REQ-0133,The system shall be able to display a printable summary for individual nursing students which will include (but not be limited to) student name student ID admission date classes credits GPA and the cohort that the student is enrolled in.,,,,,
REQ-0392,The product shall be easy for customers with novice skills on the Internet to purchase and watch streaming movies. Customers should be able to purchase and watch a pre-determined movie in under 3 minutes.,,,,,
REQ-0129,A staff member shall have the ability to manage the progress of a part time student which includes modifying their sequence of classes and timeline of classes.,,,,,
REQ-0568,The product shall interface CSR and Datastream.The product shall exchange messages between CSR and EAM on a real time basis without any direct interfaces between two systems.,,,,,
REQ-0140,The system will notify affected parties when changes occur affecting cohorts including but not limited to changes to the sequence for a cohortâ€™s program of study and changes to a given weekâ€™s schedule (lab cancelled this week due to instructor illness).,,,,,
REQ-0146,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Nursing Student including student ID student name phone number e-mail status (full time or part time) and program of study.,,,,,
